rank,verdict,in_corpus,cites,year,title,doi_url,authors,venue,rationale,sources
851,NO,,0,2012,APLICACIÓN DE BBL EN UN CURSO DE PROGRAMACIÓN I DE UN PROGRAMA DE INGENIERÍA Using BBL in the 1st Programming computers course in an engineer program,,Omar Iván,,No abstract and no LE signals in title/venue/authors.,semanticscholar
852,NO,,0,,AC 2009-1617: ENGINEERING DESIGN IN THE CREATIVE AGE,,R. Fleisig,,No abstract and no LE signals in title/venue/authors.,semanticscholar
853,NO,,0,,A Write Way to Teach Statics: The Influence of Including Regular Writing Assignments in Promoting Student Success in Learning Engineering Statics,https://doi.org/10.18260/1-2--46511,Lance R. Curtis,2024 ASEE Annual Conference &amp; Exposition Proceedings,Engineering-education venue (engineering-ed confusable).,semanticscholar
854,NO,,0,2010,Work in progress — Implementation and research of Mastery learning at an HBCU,https://doi.org/10.1109/fie.2010.5673575,W. J. Leonard; John C. Kelly; W. Gerace,Frontiers in Education Conference,Engineering-education venue (engineering-ed confusable).,semanticscholar
855,NO,,0,2010,Create Your Scenario Interactively (Csi) – A Teaching Module For Manufacturing Processes,https://doi.org/10.18260/1-2--16040,M. Saha; Z. Siddique; B. Barua,,No abstract and no LE signals in title/venue/authors.,semanticscholar
856,LIKELY,,0,2023,Ingeniería para el Aprendizaje en la Educación de la Ingeniería - [Learning Engineering in Engineering Education],https://doi.org/10.26754/cinaic.2023.0055,Pedro Manuel Hernández Castellano; Roberto E. Araña-Suárez; Maria Cristina Hernández Pérez,Innovación educativa en los tiempos de la inteligencia artificial,Spanish translation of Learning Engineering applied to engineering ed; likely LE-framed,semanticscholar
857,NO,,0,2011,Teaching and learning engineering software,,C. Er,,Engineering-education confusable phrasing; no LE venue/figure.,semanticscholar
858,NO,,0,2020,Program Assessment through Product Based Learning in Undergraduate Engineering Programmes in India,https://doi.org/10.18260/1-2--35093,Dr. Venugopalan Kovaichelvan,,No abstract and no LE signals in title/venue/authors.,semanticscholar
859,NO,,0,2015,Assessment of Multimedia Based Blended Learning Engineering Courseware at An-Najah National University,,Walaa Ghassan Johari,,No abstract and no LE signals in title/venue/authors.,semanticscholar
860,NO,,0,2025,"The Royal Academy of Engineering, UK and The Enriching of Engineering Education Training and Practice Programme in Sub-Saharan Africa",https://doi.org/10.52339/tjet.v44i1.1274,Bavo Nyichomba,Tanzania Journal of Engineering and Technology,Nyichomba Royal Academy of Engineering sub-Saharan capacity-building — EngEd.,semanticscholar
861,NO,,0,2017,"Problem-Based Learning, Engineering and Technology for Sustainable Human Development",,T. Marjoram,,No abstract and no LE signals in title/venue/authors.,semanticscholar
862,NO,,0,2021,Project based Engineering Graphics Instruction in a Content and Language Integrated Flipped Classroom,https://doi.org/10.17485/ijst/v14i19.187,M. Rajeswaran; D. B. Jabaraj,Indian Journal of Science and Technology,Engineering-education confusable phrasing; no LE venue/figure.,semanticscholar
863,NO,,0,2016,The Open University ’ s repository of research publications and other research outputs Assessment of work-based reports : an analysis of assessment frameworks Conference Item,,J. Monk,,No abstract and no LE signals in title/venue/authors.,semanticscholar
864,NO,,0,2010,Work in progress — Academic Pathways of People Learning Engineering — An Australian study,https://doi.org/10.1109/fie.2010.5673622,E. Godfrey; T. Aubrey; Robin W. King,Frontiers in Education Conference,Engineering-education venue (engineering-ed confusable).,semanticscholar
865,NO,,0,2011,"Ensino de Ciência dos Materiais, com auxílio da Plataforma Moodle / Teaching Materials Science, with the Aid of Moodle Platform",,E. R. Almendra; C. Haguenauer; L. Delgado,,No abstract and no LE signals in title/venue/authors.,semanticscholar
866,YES,,0,2024,Integrating Experiential Simulation into Classroom Instruction with Synthetic Experience Events,https://doi.org/10.54941/ahfe1005028,Kevin Owens; Lisa Townsend; B. Goldberg,Human Factors and Simulation,Owens/Townsend/Goldberg 'continuing learning engineering effort' for CBEL in US military training.,semanticscholar
867,NO,,0,2019,Implementation of Engineering Projects in a High School Anatomy Course (WIP),https://doi.org/10.18260/1-2--32937,Ms. Lauren Singelmann,,Engineering-education confusable phrasing; no LE venue/figure.,semanticscholar
868,NO,,0,2024,A Literature Review of the Implications of Learning Engineering Design Processes in Mathematics Subjects for Primary School,https://doi.org/10.37134/jpsmm.vol14.2.4.2024,Masyithoh Md Zuber; Mohd. Asyraf Mansor,Jurnal Pendidikan Sains dan Matemaitk Malaysia,Engineering-education confusable phrasing; no LE venue/figure.,semanticscholar
869,NO,,0,2009,Learning Engineering by Modeling a Guitar Effects Pedal with FPGAs,,J. Olivares; J. M. Palomares; José M. Soto,,Engineering-education confusable phrasing; no LE venue/figure.,semanticscholar
870,NO,,0,2024,Taxonomy of a learning engineering organization,https://doi.org/10.24908/pceea.2024.18628,H. Sadek; Franz Newland,Proceedings of the Canadian Engineering Education Association (CEEA),Engineering-education venue (engineering-ed confusable).,semanticscholar
871,NO,,0,2021,eLmL 2021 Proceedings,,eLmL; Christian M. Stracke,,No abstract and no LE signals in title/venue/authors.,semanticscholar
872,NO,,0,1995,Adaptive computer-based training in electronic engineering,https://doi.org/10.1049/ic:19950627,R. P. Essenius; C. Wissenburgh,,No abstract and no LE signals in title/venue/authors.,semanticscholar
873,NO,,0,2026,SUPPORT TOOL FOR ENGINEERING EDUCATION THROUGH BIM LEARNING OBJECTS,https://doi.org/10.12662/1809-5771ri.130.6245.p202-205.2026,Rodrigo Magalhães Siqueira Borges; Mariana Monteiro Xavier de Lima; José de Paula Barros Neto,Revista Interagir,Borges BIM learning objects for engineering education — 'teaching-learning engineering content' means engineering content.,semanticscholar
874,NO,,0,2023,The Effectiveness of Students' Use of Computer Modeling in Learning Engineering Mathematics,https://doi.org/10.3991/ijet.v18i06.37683,K. Alzubi,International Journal of Emerging Technologies in Learning (iJET),Engineering-education confusable phrasing; no LE venue/figure.,semanticscholar
875,NO,,0,2019,Exploring Students’ Class Perceptions in the Development of a First-Year Engineering Design Course,https://doi.org/10.18260/1-2--32810,Dr. Lilianny Virguez,,Engineering-education confusable phrasing; no LE venue/figure.,semanticscholar
876,NO,,0,2014,Cursos de Engenharia na Modalidade a Distância: implementação e acompanhamento/ Distance Education Courses for Engineering: implementation and monitoring,https://doi.org/10.18250/2179-2933/ensinodeciencias.v5n2p86-99,A. Tonini,,No abstract and no LE signals in title/venue/authors.,semanticscholar
877,NO,,0,2023,INNOVATING EDUCATION: DEVELOPING SELF-PACED ONLINE COURSE FOR DISTANCE LEARNING ENGINEERING STUDENTS,https://doi.org/10.21125/iceri.2023.0526,Oksana Labanova; E. Safiulina; Olga Ovtšarenko,ICERI proceedings,Engineering-education confusable phrasing; no LE venue/figure.,semanticscholar
878,NO,,0,2018,FORMATION OF COMPETENCES AND INNOVATIVE TRENDS IN THE E-LEARNING ENGINEERING EDUCATION INDUSTRY,,A. Putilov; I. A. Baranova; A. Kaplunov,,No abstract and no LE signals in title/venue/authors.,semanticscholar
879,ADJACENT,,0,2020,Learning Engineering and Reengineering for Online and Hybrid Environments: A Case Study of a Blended Course,https://doi.org/10.38069/edenconf-2020-rw-0042,Melpomeni Papadopoulou,,Papadopoulou blended-learning case study using French ingénierie-pédagogique sense — adjacent.,semanticscholar
880,NO,,0,2018,A inovação no ensino/aprendizagem/extensão de engenharia por meio de modernas tecnologias de informação e comunicação / Innovation in teaching/learning/engineering extension through modern information and communication technologies,,Lilyanne Rocha Garcez; Ellem Cristiane de Sousa Morais Contente; Elias Simão Assayag,,No abstract and no LE signals in title/venue/authors.,semanticscholar
881,YES,,0,2019,Evidence-Based Recommendation for Content Improvement Using Reinforcement Learning,https://doi.org/10.1007/978-3-030-23207-8_68,Machi Shimmei; Noboru Matsuda,International Conference on Artificial Intelligence in Education,Shimmei & Matsuda RL-for-content-improvement — same LE-automation line as #491; no abstract but LE-aligned.,semanticscholar
882,NO,,0,2012,The infiltration of legal education to engineering education and self innovation,https://doi.org/10.1109/iccse.2012.6295448,Han Ying,International Conference on Crowd Science and Engineering,No abstract and no LE signals in title/venue/authors.,semanticscholar
883,NO,,0,2025,Adaptive Search Algorithms: A Comprehensive Overview and Emerging Optimization Trends,https://doi.org/10.9734/ajrcos/2025/v18i3575,Shahwan Younis Ali; Ibrahim Mahmood,Asian Journal of Research in Computer Science,No LE-discipline signals found.,semanticscholar
884,NO,,0,2013,"Gender related challenges encountered by students in learning technical courses in Machakos Technical Training Institute,Machakos County",,Elijah Dorothy Mueni,,No abstract and no LE signals in title/venue/authors.,semanticscholar
885,NO,,0,2020,Learning Engineering Properties with Bag-of-Tricks. For the Automated Evaluation of a Piping Design,https://doi.org/10.1109/case48305.2020.9217001,Wei-Chian Tan; Kie Hian Chua; Chao-Bo Yan,2020 IEEE 16th International Conference on Automation Science and Engineering (CASE),Tan 'Learning Engineering Properties' for piping design — ML for engineering design compliance.,semanticscholar
886,YES,Y,0,2025,Exploring Learning Engineering Design Decision Tracking: Emergent Themes from Practitioners’ Work,https://doi.org/10.1007/s11528-025-01076-y,Lauren Totino; Aaron Kessler,TechTrends,Totino & Kessler LEED tracker practitioner study — 'Learning Engineering Evidence and Decision' tool.,semanticscholar
887,NO,,0,2010,Impact of spatial ability training and its transfer,,K. Samsudin,,No abstract and no LE signals in title/venue/authors.,semanticscholar
888,NO,,0,2016,Approximative Representation of Functions,https://doi.org/10.1007/978-3-319-42755-3_10,W. Römisch; T. Zeugmann,,No abstract and no LE signals in title/venue/authors.,semanticscholar
889,NO,,0,2023,Investigating the Adoption of Augmented Reality for Vocational Student Engineering Materials in Hybrid Learning,https://doi.org/10.32535/jicp.v6i1.2459,N. L. Badriah; M. Yusuf; Agus Efendi,Journal of International Conference Proceedings,Badriah AR for vocational engineering materials — EngEd vocational study.,semanticscholar
890,NO,,0,2006,Trends in engineers ’ training,,J. Kusiak; Ł. Rauch; M. Pietrzyk,,No abstract and no LE signals in title/venue/authors.,semanticscholar
891,NO,,0,2012,Exploration and research of the laboratory construction of engineering drawing,,Zhou Yu,,No abstract and no LE signals in title/venue/authors.,semanticscholar
892,NO,,0,2025,Application of Phone-Based Robotic Arm Teleoperation in Remote Hands-On Labs for Engineering Education,https://doi.org/10.18260/1-2--55442,Ziling Chen; Zhen Zhao; John Liu,2025 ASEE Annual Conference &amp; Exposition  Proceedings,Engineering-education venue (engineering-ed confusable).,semanticscholar
893,NO,,0,2023,РАЗРАБОТКА УЧЕБНОГО МОДУЛЯ «ИНТЕЛЛЕКТУАЛЬНЫЕ ИНФОРМАЦИОННЫЕ СИСТЕМЫ ПРОМЫШЛЕННЫХ ПРОИЗВОДСТВ»,https://doi.org/10.25683/volbi.2023.62.530,В. Н. Богатиков; О.М. Островская; Н.А. Тоичкин,Бизнес. Образование. Право,Engineering-education confusable phrasing; no LE venue/figure.,semanticscholar
894,NO,,0,2023,Preface,https://doi.org/10.1088/1742-6596/2620/1/011001,,Journal of Physics: Conference Series,"ACSE 2023 preface — CS-engineering conference, not LE discipline.",semanticscholar
895,NO,,0,2026,"AI, ML Governance and Feature Engineering on Lakehouses: Unifying Data Engineering and ML Engineering with Azure Databricks and Unity Catalog",https://doi.org/10.21275/sr26130120835,Amol Bhatnagar,International Journal of Science and Research (IJSR),No LE-discipline signals found.,semanticscholar
896,NO,,0,2013,Considerations on the Improvement of Effectiveness of Engineering Budget and Settlement Curriculum,,Xin Ya-fen,,No abstract and no LE signals in title/venue/authors.,semanticscholar
897,NO,,0,2012,The Research on Math Experimental Teaching in Engineering Colleges,,Jiang Lei,,No abstract and no LE signals in title/venue/authors.,semanticscholar
898,NO,,0,2006,Building A Water Tower And Learning About A Role For Service Learning In The Civil Engineering Curriculum,https://doi.org/10.18260/1-2--1389,L. Inniss; E. Inniss,,Engineering-education confusable phrasing; no LE venue/figure.,semanticscholar
899,NO,,0,2019,Effect of Spatial Visualization on Learning Engineering Technology and Engineering Programs,https://doi.org/10.18260/1-2--32690,Oai Ha; Martin L. Tanaka; S. Kaul,,No abstract and no LE signals in title/venue/authors.,semanticscholar
900,NO,,0,2025,Introducing Machine Learning: Engineering,https://doi.org/10.1088/3049-4761/aded84,J. Lee,Machine Learning: Engineering,No abstract and no LE signals in title/venue/authors.,semanticscholar
901,NO,,0,2010,"The research and practice for new model of teaching on Electrical Engineering and automation subject based on “Design, Practice and Ability”",https://doi.org/10.1109/iceit.2010.5608421,Gang Zhao,International Conference on Educational and Information Technology,Engineering-education confusable phrasing; no LE venue/figure.,semanticscholar
902,NO,,0,2010,INNOVATION USING OPEN ENDED PROBLEM TEACHING IN ENGINEERING EDUCATION WITH EMPHASIS ON THERMAL TURBOMACHINES,,A. Lecuona; R. Ventas-Garzón; M. Legrand,,No abstract and no LE signals in title/venue/authors.,semanticscholar
903,NO,,0,2018,Empathy Improvement through Roleplaying Canvas in Education and Innovations,,B. Bhatt,,No abstract and no LE signals in title/venue/authors.,semanticscholar
904,NO,,0,2025,THE ROLE OF STEM TECHNOLOGY IN FOSTERING INTERDISCIPLINARY CONNECTIONS IN TEACHING NATURAL SCIENCE SUBJECTS AT SCHOOL,https://doi.org/10.32014/2025.2518-1467.1028,Aman Kopbossyn; A. Orynbekova; N. Serikbayeva,Bulletin,Engineering-education confusable phrasing; no LE venue/figure.,semanticscholar
905,NO,,0,2017,Sculpture development as an informal activity for learning engineering abilities in K-12 students,,C. García-García; V. C. Ramos; J. Galán,,No abstract and no LE signals in title/venue/authors.,semanticscholar
906,NO,,0,2022,Team Teaching: A Blended Learning Tool in Engineering Mathematics,https://doi.org/10.16920/jeet/2022/v36i1/22147,S. Sharma,Journal of Engineering Education Transformations,Engineering-education venue (engineering-ed confusable).,semanticscholar
907,NO,,0,2025,The ideation of final year undergraduate project topics as a creative process: the case of a distance-learning engineering module,https://doi.org/10.1080/02680513.2025.2489373,Martin Braun,"Open Learning: The Journal of Open, Distance and e-Learning",Engineering-education confusable phrasing; no LE venue/figure.,semanticscholar
908,LIKELY,,0,2022,"The Third Workshop of the Learner Data Institute: Big Data, Research Challenges, \& Science Convergence in Educational Data Science",,Vasile Rus; Stephen E. Fancsali,Educational Data Mining,"Rus/Fancsali Learner Data Institute EDM workshop — no abstract; ICICLE-aligned authors/venue, LE-framed improvement research.",semanticscholar
909,NO,,0,2011,AC 2011-850: GENDER AND ENGINEERING: USING PHOTO ELICITA- TION AS A METHOD OF INQUIRY,,Kathleen M. Morley; A. Pawley; R. Adams,,No abstract and no LE signals in title/venue/authors.,semanticscholar
910,NO,,0,2011,Multi-Dimensional Tele-healthcare Engineering Undergraduate Education via Building-Block-based Medical Sensor Labs,,Fei Hu,,No abstract and no LE signals in title/venue/authors.,semanticscholar
911,NO,,0,2019,Investigation of International Service Learning in Engineering Education,,Brooke Baugher,,Engineering-education confusable phrasing; no LE venue/figure.,semanticscholar
912,NO,,0,2017,Learning Engineering through Research on Multidisciplinary Topics,,Kayla Keepseagle,,No abstract and no LE signals in title/venue/authors.,semanticscholar
913,NO,,0,2004,On the Design of Adaptive Educational Hypermedia Systems,,S. Retalis; F. Paraskeva; A. Papasalouros,,No abstract and no LE signals in title/venue/authors.,semanticscholar
914,NO,,0,2015,Enhancing Teaching of Engineering Mathematics,,Tajinder Singh,,Engineering-education confusable phrasing; no LE venue/figure.,semanticscholar
915,NO,,0,2002,The network study system of design and analysis of engineering graphics,,Cong Xi-bin,,No abstract and no LE signals in title/venue/authors.,semanticscholar
916,NO,,0,2025,CHALLENGES IN PREPARING AN ADAPTIVE VOCATIONAL CURRICULUM IN THE SOCIETY 5.0 ERA: A LITERATURE STUDY,https://doi.org/10.21831/jvars.v2i1.1454,Ahmad Samlawi; Syahida Norviana,Journal of Vocational Applied Research and Studies,Samlawi vocational curriculum literature study — bibliometrics only.,semanticscholar
917,NO,,0,2024,Evaluation of Optimization Algorithms for Use in a Mobile App Aimed at Learning Autotuning of PID Controllers for Engineering Students,https://doi.org/10.3991/ijoe.v20i14.50995,O. Chamorro-Atalaya,Int. J. Online Biomed. Eng.,Engineering-education confusable phrasing; no LE venue/figure.,semanticscholar
918,NO,,0,2019,ENGINEERING EDUCATION FOR K-12 STUDENTS: STORYTELLING AND CURRICULUM FRAMEWORK FOSTERING ACTIVE LEARNING,https://doi.org/10.21125/edulearn.2019.2445,F. Campos,EDULEARN19 Proceedings,Engineering-education confusable phrasing; no LE venue/figure.,semanticscholar
919,NO,,0,2011,Developing creative potential using an active-learning experience,,A. Gibney,,No abstract and no LE signals in title/venue/authors.,semanticscholar
920,NO,,0,2015,Diseño de un laboratorio virtual de ingeniería de métodos como un modelo de educación continua a distancia.,https://doi.org/10.1234/rrp.v3i1.71,Juan Ceballos Corral; Mildrend Ivett Montoya Reyes; Margarita Gil Samaniego Ramos,,No abstract and no LE signals in title/venue/authors.,semanticscholar
921,NO,,0,2017,Design of Argumentation Techniques for Learning Engineering Statics,https://doi.org/10.18260/1-2--28119,T. Foutz; C. Ward,,No abstract and no LE signals in title/venue/authors.,semanticscholar
922,NO,,0,2020,Engineering graphics in a community-college setting: Challenges and opportunities,https://doi.org/10.18260/1-2--34553,D. H. D. Budinoff,,No abstract and no LE signals in title/venue/authors.,semanticscholar
923,YES,,0,2026,Designing for Complexity at Scale: Danielle McNamara on Learning Engineering and AI's Real Role in Education,https://doi.org/10.1007/s11528-026-01174-5,D. Henriksen; Punya Mishra; Lauren J. Woo,TechTrends,Henriksen/Mishra/Woo TechTrends interview with McNamara on LE and AI.,semanticscholar
924,NO,,0,1995,"Powered by the wind and the sun, Baltimore High School students get a jump start on college",https://doi.org/10.1109/fie.1995.483250,T. Regan; P.A. Minderman; L. Fritzche,Proceedings Frontiers in Education 1995 25th Annual Conference. Engineering Education for the 21st Century,No abstract and no LE signals in title/venue/authors.,semanticscholar
925,NO,,0,1999,An Attempt of Teaching the Calculus of Variations in the Course of Engineering Mathematics,https://doi.org/10.4307/jsee.47.8,Y. Nishino,,Engineering-education confusable phrasing; no LE venue/figure.,semanticscholar
926,NO,,0,2015,PENGARUH MODEL TIPE TAI TERHADAP HASIL BELAJAR SISWA PADA PEMBELAJARAN MATEMATIKA DI SD,,Lita Marlisa; B. Tampubolon; Rosnita,,No abstract and no LE signals in title/venue/authors.,semanticscholar
927,NO,,0,2016,Team Negotiation Strategies in Entrepreneurship Education: Patterns Found in Engineering Students from Northern California and Santiago de Chile,https://doi.org/10.18260/p.26067,Constanza Miranda; Isabel Hilliger,,Engineering-education confusable phrasing; no LE venue/figure.,semanticscholar
928,YES,,0,2021,Rebuilding a Teaching Conference in a Pandemic: User-Centered Guiding Principles and Lessons Learned,https://doi.org/10.3998/tia.17063888.0039.305,L. Lukes; E. Reid,To Improve the Academy,"Lukes & Reid explicitly cite 'iterative design process from learning engineering (Kessler, 2019)' for conference redesign.",semanticscholar
929,NO,,0,2011,Need-Based English for Science and Technology: A Study in Relation to Engineering,https://doi.org/10.3126/jie.v8i1-2.5127,R. Khanal,,No abstract and no LE signals in title/venue/authors.,semanticscholar
930,NO,,0,2024,WIP: Engineering and Learning Affordances for Multilingual Learners in Elementary Classrooms,https://doi.org/10.1109/fie61694.2024.10892971,Duncan Mullins; Jessica E. S. Swenson; Mary B. Mcvee,Frontiers in Education Conference,Engineering-education venue (engineering-ed confusable).,semanticscholar
931,NO,,0,2018,Identification of optimal features of the knowledge base in project-based learning engineering education - Qualitative analysis of applications in engineering practicum,,D. Purković,,No abstract and no LE signals in title/venue/authors.,semanticscholar
932,NO,,0,,ACCESSIBILITY AND UTILIZATION OF INFORMATION COMMUNICATION TECHNOLOGY INFRASTRUCTURE ON TEACHING AND LEARNING OF ENGINEERING COURSES IN POLYTECHNICS IN KENYA,,M. Cheruiyot; S. Kisilu; M. Daniel,,No abstract and no LE signals in title/venue/authors.,semanticscholar
933,NO,,0,,AC 2011-2836: LOOSE NETWORKS AND THE COMMUNITY OF ENGI- NEERING EDUCATION RESEARCH: A DEFINITION BY BIBLIOMET- RIC STANDARDS,,J. Strobel,,No abstract and no LE signals in title/venue/authors.,semanticscholar
934,NO,,0,2014,"THE IMPACT OF CONTEXTUAL METHOD IN TEACHING AND LEARNING ENGINEERING STATISTICS IN THE UNIVERSITI TUN HUSSEIN ONN MALAYSIA (UTHM) 1 Zulkarnain Md Amin, 2 Nafisah Kamariah Md Kamaruddin, 3 Wan Mohd Rashid bin",,Tun Hussein; Onn Malaysia,,Engineering-education confusable phrasing; no LE venue/figure.,semanticscholar
935,NO,,0,2013,Measuring User Beliefs And Attitude On Using Pedagogical Tool In Learning Engineering Mathematics,,Sek Yong Wee; Hisham Syariffanor; Che Pee Ahmad Naim,,Engineering-education confusable phrasing; no LE venue/figure.,semanticscholar
936,NO,,0,2003,Improved Learning By Non Traditional Undergraduate Students In Analytical Methods In Engineering,https://doi.org/10.18260/1-2--12224,D. Buechler,,No abstract and no LE signals in title/venue/authors.,semanticscholar
937,NO,,0,2019,E-Learning Applications in Engineering and the Project-Based Learning vs Problem-Based Learning Styles: A Critical & Comparative Study,https://doi.org/10.30684/etj.37.4c.1,H. G. Abood,Engineering and Technology Journal,Engineering-education confusable phrasing; no LE venue/figure.,semanticscholar
938,NO,,0,2019,Out-of-Class Impacts of Flexible Classroom Spaces,https://doi.org/10.18260/1-2--33149,Candace Rose Wiwel; Jessica E. S. Swenson; Magel P. Su,,No abstract and no LE signals in title/venue/authors.,semanticscholar
939,NO,,0,2016,An Innovative Multi-Disciplinary Active Learning Task Towards OBE-A Case Study,https://doi.org/10.16920/jeet/2016/v0i0/85677,K. Rao; V. Prema,,Engineering-education confusable phrasing; no LE venue/figure.,semanticscholar
940,NO,,0,2015,Judicious Use of Communication for Inherently Parallel Optimization,,Andrew W. McNabb,,No abstract and no LE signals in title/venue/authors.,semanticscholar
941,NO,,0,2012,Teaching and learning engineering softwares.,,Yang Zhang,,Engineering-education confusable phrasing; no LE venue/figure.,semanticscholar
942,NO,,0,2021,Learning Interest of Poliwangi Students to Learn Mathematics Engineering Through MOOCs Using Dummy Regression,https://doi.org/10.18860/ca.v6i4.10212,I. Yuniwati; A. D. Yustita; Siska Aprilia Hardiyanti,,Engineering-education confusable phrasing; no LE venue/figure.,semanticscholar
943,NO,,0,2020,The Semiotic Context for Learning Engineering Graphics,https://doi.org/10.1007/978-3-030-63403-2_90,H. Lille,,No abstract and no LE signals in title/venue/authors.,semanticscholar
944,NO,,0,2010,Teaching Practice Innovation of Engineering Drawing Based on Survey,,Zhu Li-jin,,No abstract and no LE signals in title/venue/authors.,semanticscholar
945,NO,,0,2025,"Evolución y tendencias en la enseñanza del inglés como lengua extranjera, integración tecnológica y enfoques",https://doi.org/10.61586/c7hub,Fabián David Güiza-Pinzón; Pablo Alexander Munévar García,"Mitteilungen Klosterneuburg : Rebe und Wein, Obstbau und Fruchteverwertung",Güiza-Pinzón bibliometric on EFL + tech — not LE discipline.,semanticscholar
946,NO,,0,2019,Development of Interactive Multimedia-Based Teaching Materials for Learning Technique Mechanical,https://doi.org/10.4108/eai.18-10-2018.2287400,Efendi Napitupulu; Nono Sebayang; Sempurna Perangin-angin,"Proceedings of the Proceedings of The 5th Annual International Seminar on Trends in Science and Science Education, AISTSSE 2018, 18-19 October 2018, Medan, Indonesia",Engineering-education confusable phrasing; no LE venue/figure.,semanticscholar
947,NO,,0,2024,The Perceived Value of Proving in Learning Engineering Mathematics and its Dependence on Motivation and Study Habits,https://doi.org/10.5324/njsteme.v8i2.5070,T. Tossavainen; E. Burtseva,Nordic Journal of STEM Education,Engineering-education confusable phrasing; no LE venue/figure.,semanticscholar
948,NO,,0,2014,Experiences of learning engineering mathematics under different contexts in a Singapore polytechnic,,Huei Wuan Ee,,Engineering-education confusable phrasing; no LE venue/figure.,semanticscholar
949,NO,,0,2015,Interactivity and information-communication technologies in basic physics to engineering classes,,A. Santiago; A. F. Machado; Claudio Elias da Silva,,No abstract and no LE signals in title/venue/authors.,semanticscholar
950,NO,,0,2019,Effect of Spatial Visualization on Learning Engineering Technology and En- gineering Programs,,Dr. Oai Ha,,No abstract and no LE signals in title/venue/authors.,semanticscholar
951,NO,,0,2019,PENERAPAN METODE KOOPERATIF TEAMS GAMES TOURNAMENTS (TGT) TERHADAP HASIL BELAJAR MATA PELAJARAN MEKANIKA TEKNIK SMK NEGERI 1 CIREBON,,Ajeng Puspita Ningrum,,No abstract and no LE signals in title/venue/authors.,semanticscholar
952,NO,,0,2023,THE DEVELOPMENT OF CREATIVE THINKING OF THE INDIVIDUAL IN THE PROCESS OF LEARNING ENGINEERING GRAPHICS,https://doi.org/10.33979/1998-2720-2023-98-1-367-370,S. Chernikova; T. A. Yagupova; F. E. Ochilov,Scientific Notes of Orel State University,Engineering-education confusable phrasing; no LE venue/figure.,semanticscholar
953,NO,,0,2007,A Method of Wire-Frame Shape Configuring for Drawing Reading,,Zhu Chun-geng,,No abstract and no LE signals in title/venue/authors.,semanticscholar
954,NO,,0,2024,Benefits of Student Engagement in an Engineering Fair for their Professional Development,https://doi.org/10.1109/educon60312.2024.10578565,Elvira Niño-Juárez; Alicia Minerva Ortiz Rojas; Vianney Lara-Prieto,IEEE Global Engineering Education Conference,Engineering-education confusable phrasing; no LE venue/figure.,semanticscholar
955,NO,,0,2013,Guy Jobert. The Trainer for Adults,,G. Jobert,,No abstract and no LE signals in title/venue/authors.,semanticscholar
956,NO,,0,2013,Assembling Basics for an Ever Learning Engineer,https://doi.org/10.2139/ssrn.2306475,P. Thareja,,No abstract and no LE signals in title/venue/authors.,semanticscholar
957,NO,,0,,BOARD # 218: Transforming a University-Level Experiential Learning Engineering Course into a Comprehensive Pre-College Summer Program (Work in Progress),https://doi.org/10.18260/1-2--55575,Nicholas Choi; Kan Li; Kristin Roher,2025 ASEE Annual Conference &amp; Exposition  Proceedings,Engineering-education venue (engineering-ed confusable).,semanticscholar
958,NO,,0,2022,Systematic Literature Review: Machine Learning Prediction Model for Covid-19 Spreading,https://doi.org/10.1109/icoris56080.2022.10031414,F. E. Nastiti; Shahrulniza Musa; Eiad Yafi,2022 4th International Conference on Cybernetics and Intelligent System (ICORIS),No LE-discipline signals found.,semanticscholar
959,NO,,0,2017,Candy land: Engaging students in class,https://doi.org/10.18260/1-2--28005,T. Nilsson; C. Saviz; David A. Saftner,,No abstract and no LE signals in title/venue/authors.,semanticscholar
960,NO,,0,2014,East-West cooperation for the enhancement of teaching and learning engineering,,P. Willmot; E. Smirnova,,Engineering-education confusable phrasing; no LE venue/figure.,semanticscholar
961,NO,,0,1941,The Relationship of the Engineering Colleges to the Defense Program,,M. P. O'brien,,No abstract and no LE signals in title/venue/authors.,semanticscholar
962,NO,,0,,Gender-Based Performance in a Collaborative Learning Engineering Classroom,https://doi.org/10.18260/1-2--56636,Hanwei Wang; Katherine McMahon,2025 ASEE Annual Conference &amp; Exposition  Proceedings,Engineering-education venue (engineering-ed confusable).,semanticscholar
963,NO,,0,,AC 2010-1897: DESIGNING SUCCESSFUL DESIGN PROJECTS,,A. Cheville,,No abstract and no LE signals in title/venue/authors.,semanticscholar
964,NO,,0,2016,An Arabic Text-to-Picture Mobile Learning System,https://doi.org/10.5339/qfarc.2016.ictpp3090,AbdelGhani Karkar; J. A. Ja'am; S. Foufou,,No abstract and no LE signals in title/venue/authors.,semanticscholar
965,NO,,0,2012,Tools of learning engineering ethics to university students.,,M. Selim; M. A. Al-Bayywomi,,Engineering-education confusable phrasing; no LE venue/figure.,semanticscholar
966,NO,,0,2023,Toward an Eﬃcient in-Network Caching Using Federated Learning,https://doi.org/10.1109/pais60821.2023.10322015,Malak Safa Djekidel; Habib Manel; Kerrache Chaker Abdelaziz,International Conference on Pattern Analysis and Intelligent Systems,ML-engineering sub-field (MLOps/DL eng) without LE context.,semanticscholar
967,NO,,0,2012,AC 2012-4214: LEVELING THE PLAYING FIELD: PREPARING STU- DENTS FOR CALCULUS,,Deborah L. Worley; J. Neubert; J. Neubert,,No abstract and no LE signals in title/venue/authors.,semanticscholar
